type,page,score,H,A,L,B,ingredient_en,ingredient_zh,remarks_en,remarks_zh
item,13,0,,,L,,"carotene, beta-carotene, β-carotene, E160a",焦耳烯、β-焦耳烯、E160a,,
item,13,2,,,L,,"carrageenan, processed seaweed, E407, E407a","加工海藻的卡拉吉南,E407,E407a",,
item,13,0,,,,,"caustic caramel, E150a","恶性焦糖,E150a",,
item,13,0,,,,,"caustic sulphite caramel, E150b","硫酸焦糖,E150b",Possibly not as good tolerated as E150?,可能不如 E150 耐受？
item,13,0,,,,,"cellulose ethyl ether, ethyl cellulose, ethylcellulose, E462",纤维素 乙基醚 乙基纤维素 乙基纤维素 E462,,
item,13,0,,,,,"cellulose methyl ether, methyl cellulose, methylcellulose, methylated cellulose, E461","纤维素甲基醚,甲基纤维素,甲基纤维素,甲基纤维素,E461",May produce laxative effects in large quantities.,大量摄入可能产生通便作用。
item,13,0,,,,,"cellulose, E460","纤维素,E460",,
item,13,0,,,,,"charcoal, E153",E153木炭,,
item,13,0,,,,,"chlorophyll, E140","叶绿素,E140",,
item,13,1,,,,,"citric acid, E330","柠檬酸,E330","To be debated. Made from mold, not from lemons.",仍有争议。由霉菌制成，并非来自柠檬。
item,13,2,,,L,,"cochineal red A, E124","大肠红A,E124",,
item,13,2,,,L,,"cochineal, E120","猪笼草,E120",,
item,13,0,,,,,"copper complexes of chlorophylls and chlorophyllins, E141","叶绿素和叶绿素的铜化合物,E141",,
item,13,0,,,,,"cream of tartar, E336","奶油塔,E336",,
item,14,2,,,L,,"crimson lake, E120","克里姆森湖,E120",,
item,14,1,,,L,,"crystal gum, gum karaya, karaya gum, E416",水晶口香糖 卡拉雅口香糖 卡拉雅口香糖 E416,,
item,14,0,,,,,"curcumin, E100","curcumin, E100 (中文(简体) ).",,
item,14,0,,,,,"delta-tocopherol, vitamin E, E309","脱硫磷,维生素E,E309",,
item,14,1,,,?,,"dicalcium phosphate, dicalcium hydrogen orthophosphate, E340","磷酸ical,氢正磷酸ium,E340",,
item,14,?,,,,,"dimethicone, dimethylpolysiloxane, polydimethylsiloxane, PDMS, E900","二甲基聚硅氧烷,聚二甲基硅氧烷,PDMS,E900",,
item,14,?,,,,,"dimethyl dicarbonate, DMDC, methoxycarbonyl methyl carbonate, dimethyl pyrocarbonate, Velcorin, E242",二甲基二碳酸酯、DMDC、甲氧碳酰甲基碳酸酯、二甲基丙烯酸酯、Velcorin、E242,,
item,14,1,,,?,,"dipotassium phosphate, dipotassium hydrogen orthophosphate, E340","磷酸二钾,氢正磷酸二钾,E340",,
item,14,0,,,,,"D-isoascorbate, sodium erythorbate, erythorbic acid sodium salt, E316, erythorbic acid sodium salt, sodium erythorbate, D-isoascorbate, E316","D-异辛酸盐,红th酸钠,红th酸钠盐,E316,红th酸钠盐,红th酸钠,D-异辛酸钠,E316",,
item,14,0,,,,,"E100, curcumin","E100,曲霉素",,
item,14,1,,,L,,"E101a, riboflavin-5′-phosphate","E101a, riboflavin-5 '-磷酸盐",,
item,14,3,,,L,,"E102, tartrazine","E102,柏拉锡",,
item,14,3,,,L,,"E104, quinoline yellow","E104, qui黄色",,
item,14,3,,,L,,"E110, sunset yellow FCF","E110, 日落黄色FCF",,
item,14,0,,,,,"E1103, invertase, saccharase, glucosucrase, beta-h- fructosidase, beta-fructosidase, invertin, sucrase","E1103, 反转酶, saccharase, glucosucrase, β-h- fructosidase, β-fructosidase, 反转酶, subrase",,
item,14,?,,,,,"E1105, lysozymes",E1105 淋巴,,
item,14,2,,,L,,"E120, carmine, cochineal","E120, 碳化物, 杂交",,
item,14,?,,,,,"E1200, polydextrose","E1200, 多边形",May produce laxative effects in large quantities.,大量摄入可能产生通便作用。
item,14,1,,,?,,"E1201, polyvinylpyrrolidone, PVP, polyvidone, povidone","E1201, 聚乙烯丙烯酮, PVP, 聚维酮, 波维酮",,
item,14,1,,,?,,"E1202, polyvinylpolypyrrolidone","E1202, 聚氯乙烯",,
item,14,2,,,L,,"E122, azorubine, carmoisine","E122,阿祖鲁宾,卡莫辛",,
item,14,2,,,L,,"E123, amaranth","E123, 马兰特","This refers to the azo dye amaranth, an artificial food coloring. Not to be confused with the pseudo grain amaranth from the plant genus Amaranthus.",此处指偶氮染料苋菜红（一种人工食用色素），不要与苋属植物的伪谷物苋米混淆。
item,14,2,,,L,,"E124, ponceau 4R, cochineal red A","E124, ponceau 4R, cochineal 红色 A",,
item,14,3,,,L,?,"E127, erythrosine","E127,红霉素",,
item,14,2,,,L,,"E129, Allura Red, Food Red 17, C.I. 16035, FD&C Red 40, 2- Naphthalenesulfonic acid","E129, Allura Red, Food Red 17, C.I. 16035, FD&C Red 40, 2-邻苯磺酸",,
item,14,2,,,L,,"E131, Patent blue V","E131,专利蓝V",,
item,14,2,,,L,,"E132, indigo carmine, indigotine","E132, indigo Carmine, 内燃机车",,
item,14,?,,,?,,"E133, Brilliant Blue FCF, FD&C Blue No.1, Acid Blue 9, D&C Blue No. 4, Alzen Food Blue No. 1, Atracid Blue FG, Erioglaucine, Eriosky blue, Patent Blue AR, Xylene Blue VSG, C.I. 42090","E133,辉煌蓝FCF,FD&C蓝号1,酸蓝9,D&C蓝号4,Alzen食品蓝号1,Atracid Blue FG,Erioglaucine,Eriossky蓝号,专利蓝AR, 蓝VSG,C.I. 42090 (英语).",,
item,14,0,,,,,"E140, chlorophyll","E140,叶绿素",,
item,14,0,,,,,"E141, copper complexes of chlorophylls and chlorophyllins","E141,叶绿素和叶绿素的铜复合物",,
item,14,?,,,?,,"E142, Green S, Food Green S, FD&C Green 4, Acid green 50, Lissamine Green B, Wool Green S, C.I. 44090","E142,绿色S,食品绿色S,FD&C Green 4,酸绿色50,利沙明绿色B,伍尔绿色S,C.I.44090",,
item,14,0,,,,,"E150, plain caramel, caustic caramel, caramel coloring",E150 普通焦糖、焦糖、焦糖色,,
item,14,0,,,,,"E150b, sulphite-caramel","E150b,硫化焦糖",Possibly not as good tolerated as E150?,可能不如 E150 耐受？
item,14,0,,,,,"E150c, ammonia caramel","E150c,氨焦糖",Possibly not as good tolerated as E150?,可能不如 E150 耐受？
item,14,0,,,,,"E150d, sulphite ammonia caramel","E150d,硫酸氨焦糖",Possibly not as good tolerated as E150?,可能不如 E150 耐受？
item,14,3,,,L,,"E151, Brilliant Black BN, Brilliant Black PN, Brilliant Black A, Black PN, Food Black 1, Naphthol Black, C.I. Food Black 1, C.I. 28440","E151,辉煌的黑色BN,辉煌的黑色PN,辉煌的黑色A,辉煌的黑色PN,美食黑1,纳菲特霍尔黑,美食黑1,美食黑28440",,
item,14,0,,,,,"E153, charcoal","E153,木炭",,
item,14,2,,,L,,"E154, Brown FK, Kipper Brown, Chocolate Brown FK, C.I. Food Brown 1","E154, Brown FK, Kipper Brown, 巧克力 Brown FK, C.I. 食品 Brown 1",,
item,14,2,,,L,,"E155, Brown HT, Chocolate Brown HT, Food Brown 3, C.I. 20285","E155,布朗HT,巧克力布朗HT,食品布朗3,C.I. 20285",,
item,14,0,,,L,,"E160a, carotene, beta-carotene, β-carotene","E160a,焦耳烯,β-焦耳烯,β-焦耳烯",,
item,14,2,,,L,,"E160b, bixin, norbixin, annatto","E160b, bixin, Norbixin, annatto (英语).",,
item,14,?,,,,,"E160d, lycopene","E160d,淋巴",,
item,14,?,,,,,"E160e, apocarotenal , C.I. Food Orange 6","E160e,阿帕罗特纳,C.I.食品橙色 6",,
item,14,?,,,,,"E160f, Food orange 7","E160f, 食物橙色7",,
item,14,?,,,,,"E161b, lutein, luteine","E161b, lu, lu",,
item,15,?,,,,,"E161g, canthaxanthin, cantaxanthin, cantaxanthine, canthaxanthine, Lucantin red (BASF), Lucantin Red CWD (BASF), Carophyll Red (DSM), Roxanthin Red 10 (Adisseo), L- Orange 7g, C.I. Food Orange 8","E161g),可口香糖,可口香糖,可口香糖,可口香糖,Lucantin红(BASF),Lucantin红(BASF),Carophyll红(DSM),Roxanthin红10(Adisseo),L-橙色7g,C.I. 橙色食品 8",,
item,15,0,,,,,"E162, betanin, Beetroot Red","E162, β宁, 比特罗特红",,
item,15,0,,,,,"E163, anthocyanins, anthocyans","E163,炭疽,炭疽",,
item,15,0,,,,,"E170, calcium carbonate, limestone, calcite, aragonite, chalk","E170,碳酸钙,石灰岩,钙,阿拉贡岩,粉笔",,
item,15,0,,,?,,"E171, titanium dioxide, titanium(IV) oxide, titania, oxide of titanium, titanium white, Pigment White 6 (PW6), C.I. 77891","E171,二氧化钛,氧化钛(IV),钛,氧化钛,钛白色,颜料白色6(PW6),C.I.77891",,
item,15,0,,,,,"E172, iron oxides","E172,氧化铁",,
item,15,?,,,,,"E173, aluminium, aluminum","E173,铝,铝",,
item,15,?,,,,,"E174, silver","E174,银",,
item,15,0,,,,,"E175, gold","E175,黄金",,
item,15,2,,,L,,"E180, Lithol Rubine BK, Pigment Rubine, Carmine 6B, Brilliant Carmine 6B, Permanent Rubin L6B, Litholrubine, Latolrubine, C.I. Pigment Red 57, C.I. Pigment Red 57:1, D&C Red No. 7, or C.I. 15850:1","E180, Lithol Rubine BK, Pigment Rubine, Carmine 6B, 辉煌的 Carmine 6B, 永久鲁宾 L6B, Litholrubine, Latolrubine, C. I. Pigment Red 57, C. I. Pigment Red 57:1, D&C Red No. 7,或C.I. 15850:1 (中文(简体) ).",,
item,15,2,,,L,,"E200, sorbic acid","E200,索尔比克酸",,
item,15,2,,,L,,"E202, potassium sorbate","E202,吸附酸钾",,
item,15,2,,,L,,"E203, calcium sorbate","E203, 硫酸钙",,
item,15,2,,,L,,"E210, benzoic acid","E210,苯甲酸",,
item,15,2,,,L,,"E210-213, benzoic acid and salts = benzoates","E210-213,苯甲酸和盐=苯甲酸",,
item,15,2,,,L,,"E211, sodium benzoate","E211,苯甲酸钠",,
item,15,2,,,L,,"E212, potassium benzoate","E212,苯甲酸钾",,
item,15,2,,,L,,"E213, calcium benzoate","E213, 苯甲酸钙",,
item,15,2,,,L,,"E214, E215, ethylparaben, ethyl para-hydroxybenzoate","E214, E215, 乙酸乙酯, 乙酸乙酯",,
item,15,2,,,L,,"E218, E219, methylparaben, methyl paraben","E218, E219, 甲基para, 甲基 para",,
item,15,2,,,L,,"E220 - E228, sulfites, sulphites","E220 - E228,硫化物,硫化物",,
item,15,2,,,L,,"E220, sulfur dioxide, sulphur dioxide","E220,二氧化硫,二氧化硫",,
item,15,2,,,L,,"E221, sodium sulfite, sodium sulphite","E221,硫酸钠,硫酸钠",,
item,15,2,,,L,,"E222, sodium hydrogen sulphite, sodium bisulphite","E222,硫酸氢钠,二硫酸钠",,
item,15,2,,,L,,"E223, sodium metabisulfite","E223, 甲硫磺酸钠",,
item,15,2,,,L,,"E224, potassium metabisulfite","E224, 甲硫磺酸钾",,
item,15,2,,,L,,"E225, potassium sulfite","E225,硫酸钾",,
item,15,2,,,L,,"E226, calcium sulfite","E226,硫酸钙",,
item,15,2,,,L,,"E227, calcium bisulfite","E227,二硫酸钙",,
item,15,2,,,L,,"E228, potassium hydrogen sulfite","E228,硫酸氢钾",,
item,15,2,,,L,,"E231, orthophenyl phenol","E231, 矫苯酚",,
item,15,2,,,,,"E232, sodium orthophenyl phenol","E232, 苯酚钠",,
item,15,?,,,,,"E234, nisin","E234,硝基苯",,
item,15,?,,,,,"E235, natamycin, pimaricin, natacyn","E235, Natamycin, 镇痛药, Natacyn",,
item,15,2,,,L,,"E239, hexamethylenetetramine, hexamine, methenamine, urotropine, 1,3,5,7- tetraazaadamantane, formin, aminoform","E239,六甲基乙烷、苯乙烯、甲基安非他明、露天松、1,3,5,7-四亚胺曼丹、福明、氨基",,
item,15,?,,,,,"E242, dimethyl dicarbonate, DMDC, methoxycarbonyl methyl carbonate, dimethyl pyrocarbonate, velcorin","E242, 二甲基二碳酸二酯, DMDC, 甲氧碳酰甲基碳酸二酯, 二甲基丙烯酸二酯, velcorin",,
item,15,?,,,,,"E249, potassium nitrite","E249,亚硝酸钾",,
item,15,0,,,,,"E250, sodium nitrite","E250,亚硝酸钠",,
item,15,?,,,,,"E251, sodium nitrate","E251,硝酸钠",,
item,15,?,,,,,"E252, potassium nitrate, saltpetre, nitrate of potash","E252, 硝酸钾, 盐粒, 硝酸钾",,
item,15,0,,,,,"E260, acetic acid","E260, 乙酸",,
item,15,0,,,,,"E261, potassium acetate","E261,乙酸钾",,
item,15,0,,,,,"E262, sodium acetate, sodium ethanoate","E262,乙酸钠,乙酸钠",,
item,15,0,,,,,"E263, calcium acetate, acetate of lime, calcium ethanoate, calcium diacetate","E263,乙酸钙,石灰的乙酸盐,乙酸钙,二乙酸钙",,
item,15,0,,,,,"E270, lactic acid, milk acid, 2-hydroxypropanoic acid","E270,乳酸,乳酸,2-羟基丙酸",,
item,15,?,,,,,"E280, propionic acid, propanoic acid","E280, 丙酸,丙酸",,
item,15,?,,,,,"E281, sodium propanoate, sodium propionate","E281,丙酸钠,丙酸钠",,
item,15,?,,,,,"E282, calcium propanoate, calcium propionate","E282,丙酸钙,丙酸钙",,
item,15,?,,,,,"E283, potassium propanoate, potassium propionate","E283,丙酸钾,丙酸钾",,
item,15,?,,,,,"E284, boric acid","E284,硼酸",,
item,15,?,,,,,"E285, borax, sodium borate, sodium tetraborate, disodium tetraborate","E285,硼酸盐,硼酸钠,四硼酸钠,四硼酸二钠",,
item,16,0,,,,,"E290, carbon dioxide, carbonic acid gas, carbonic anhydride, carbonic oxide, carbon oxide, carbon(IV) oxide","E290,二氧化碳,碳酸气体,碳酐,碳氧化物,碳氧化物,碳(IV)氧化物",Causes only short-time symptoms and only in big quantities (e.g. carbonated soft drinks and soda water).,"仅造成短期症状,且数量较大(如碳酸软饮料和苏打水)。"
item,16,0,,,,,"E296, malic acid, hydroxybutanedioic acid","E296,乳酸,羟丁二酸",,
item,16,?,,,,,"E297, fumaric acid, trans-butenedioic acid, allomaleic acid, boletic acid, donitic acid, lichenic acid","E297,富马力酸,转丁二酸,异丁酸,硼酸,丁酸,地衣酸",,
item,16,0,,,,B,"E300, ascorbic acid, vitamin C","E300,异丙酸,维生素C","Lowers histamine levels, but is also a weak DAO inhibitor. Good for those with MCAS, bad for those with HIT?",可降低组胺水平，但也是弱 DAO 抑制剂。对 MCAS 患者可能有益，对 HIT 患者可能不利？
item,16,0,,,,,"E301, sodium ascorbate, sodascorbate","E301, or酸钠, soda酸钠",,
item,16,0,,,,,"E302, calcium ascorbate, calcium diascorbate","E302, 碳酸钙, 碳酸钙",,
item,16,0,,,,,"E304, ascorbyl palmitate","E304,棕榈油",,
item,16,0,,,,,"E306, tocopherol, vitamin E","E306,托科弗罗醇,维生素E",,
item,16,0,,,,,"E307, alpha-tocopherol, α-tocopherol, vitamin E","E307,α-环丙醇,α-环丙醇,维生素E",,
item,16,0,,,,,"E308, gamma-tocopherol, γ-tocopherol, vitamin E","E308,γ-环丙醇,γ-环丙醇,维生素E",,
item,16,0,,,,,"E309, delta-tocopherol, vitamin E","E309,三聚磷酸酯,维生素E",,
item,16,2,,,L,,"E310, propyl gallate, propyl 3,4,5-trihydroxybenzoate, gallic acid propyl ester, n-propyl gallate","E310,丙基加热酸,丙基3,4,5-三羟基苯甲酸,胆酸丙基酯,正丙基加热酸",,
item,16,2,,,L,,"E311, octyl gallate","E311,八氯乙酸",,
item,16,2,,,L,,"E312, dodecyl gallate, lauryl gallate","E312,加热二甲酸二甲酯,加热lau",,
item,16,0,,,,,"E315, erythorbic acid, isoascorbic acid, D-araboascorbic acid","E315,红素酸,异丙烯酸,D-araboascorbic酸",,
item,16,0,,,,,"E316, sodium erythorbate, D-isoascorbate, erythorbic acid sodium salt","E316,红磷酸钠,D-异asco酸盐,红磷酸钠盐",,
item,16,?,,,,,"E319, tert-Butylhydroquinone, TBHQ","E319,叔丁基氢quin酮,TBHQ",,
item,16,2,,,L,,"E320, butylated hydroxyanisole","E320,丁二酸氢x",,
item,16,2,,,L,,"E321, butylated hydroxytoluene, BHT, dibutylhydroxytoluene","E321,丁基羟基甲苯,BHT,二丁基羟基甲苯",,
item,16,0,,,,,"E322, lecithins, lecithin","E322, 列克锡, 列克锡",Mostly soya lecithin,多为大豆卵磷脂。
item,16,0,,,,,"E325, sodium lactate","E325,乳酸钠",,
item,16,0,,,,,"E326, potassium lactate","E326,乳酸钾",,
item,16,0,,,,,"E327, calcium lactate","E327,乳酸钙",,
item,16,1,,,,,"E330, citric acid","E330,柠檬酸","To be debated. Made from mold, not from lemons.",仍有争议。由霉菌制成，并非来自柠檬。
item,16,1,,,?,,"E331, trisodium citrate, sodium citrate, citric acid trisodium salt","E331,柠檬酸 tri,柠檬酸 sodium盐",Often well tolerated.,通常耐受良好。
item,16,1,,,?,,"E332, potassium citrate, tripotassium citrate","E332,柑橘酸钾,柑橘酸三otassium",Often well tolerated.,通常耐受良好。
item,16,1,,,?,,"E333, calcium citrate, tricalcium dicitrate","E333,柠檬酸钙,三钙正丁酸盐",Often well tolerated.,通常耐受良好。
item,16,0,,,,,"E334, tartaric acid, 2,3-dihydroxybutanedioic acid, 2,3- dihydroxysuccinic acid, threaric acid, racemic acid, uvic acid, paratartaric acid","E334,柏油酸,2,3-二羟基丁二酸,2,3-二羟基苏奇酸, thr酸,种族酸,uvic酸,tar酸",,
item,16,0,,,,,"E335, sodium tartrate, sal tartar, disodium tartrate, bisodium tartrate, monosodium tartrate, sodium bitartrate","E335,柏酸钠,沙质柏酸盐,二碘柏酸盐,二碘柏酸盐,单碘柏酸盐,丁酸钠",See cream of tartar,参见酒石酸氢钾/塔塔粉。
item,16,0,,,,,"E336, cream of tartar, potassium bitartrate","E336,柏油,比塔酸钾",,
item,16,1,,,?,,"E340, calcium phosphates: monocalcium phosphate (KH2PO4, calcium dihydrogen phosphate), dicalcium phosphate (K2HPO4, dicalcium hydrogen orthophosphate, calcium phosphate dibasic), tricalcium phosphate (K3PO4)","E340,磷酸钙:磷酸单钙(KH2PO4,二氢磷酸钙),磷酸二钙(K2HPO4,氢正磷酸二钙,磷酸二钙),磷酸三钙(K3PO4).",,
item,16,1,,,?,,"E340, potassium phosphates: monopotassium phosphate (KH2PO4, potassium dihydrogen phosphate), dipotassium phosphate (K2HPO4, dipotassium hydrogen orthophosphate, potassium phosphate dibasic), tripotassium phosphate (K3PO4)","E340,磷酸钾:磷酸单钾(KH2PO4,磷酸二氢钾),磷酸二钾(K2HPO4,磷酸氢正磷酸二钾),磷酸三钾(K3PO4).",,
item,16,1,,,?,,"E380, ammonium citrate, triammonium citrate","E380,柠檬酸铵,柠檬酸三铵",,
item,16,2,,,L,,"E400, alginic acid, algin, alginate","E400,亚基酸,亚基,亚基酸",,
item,16,2,,,L,,"E401, sodium alginate","E401, 亚化钠",,
item,16,2,,,L,,"E402, potassium alginate","E402,挥发钾",,
item,16,2,,,L,,"E403, ammonium alginate","E403, 铝化铵",,
item,16,2,,,L,,"E404, calcium alginate","E404,钙酸盐",,
item,16,2,,,L,,"E405, propylene glycolic alginate","E405,丙烯甘油白化",,
item,16,1,,,?,,"E406, agar, agar-agar","E406,阿加尔,阿加尔",,
item,16,2,,,L,,"E407, E407a, carrageenan, processed seaweed","E407,E407a,卡拉吉南,加工海藻",,
item,16,2,,,L,,"E410, locust bean gum, LBG, carobin, carob bean gum",E410 蝗虫豆胶、LBG、Caobin、Caob豆胶,"Thickening agent and gelling agent, extracted from the seeds of the carob tree.",增稠剂和凝胶剂，提取自角豆树种子。
item,16,1,,,L,,"E412, guar gum, guaran",E412 瓜尔口香糖 瓜尔,,
item,16,2,,,L,,"E413, tragacanth",E413 轨迹,,
item,17,1,,,L,,"E414, gum arabic, acacia gum, chaar gund, char goond, meska","E414,阿拉伯口香糖,阿卡西亚口香糖,沙尔枪,Char Gond,Meska",,
item,17,0,,,,,"E415, xanthan gum","E415,Xanthan口香糖",,
item,17,1,,,L,,"E416, gum karaya, karaya gum, crystal gum",E416 卡拉亚口香糖 卡拉亚口香糖 水晶口香糖,,
item,17,0,,,,,"E421, mannitol, mannite, manna sugar","E421,芒硝醇,曼硝酸,甘露糖",,
item,17,0,,,,,"E422, glycerol, glycerine, glycerin, propanetriol, propane- 1,2,3-triol, 1,2,3-trihydroxypropane","E422,甘油,甘油,甘油,丙烷三醇,丙烷-1,2,3-三醇,1,2,3-三羟丙烷",,
item,17,0,,,,,"E440, pectin","E440, ec",,
item,17,1,?,,?,,"E441, gelatin","E441,胶原","Controversial, may also be tolerated.",存在争议，也可能可耐受。
item,17,2,,,?,,"E452, polyphosphates: sodium-, potassium-, calcium- and sodium-calcium-polyphosphate",E452 聚磷酸钠:钠、钾、钙和钠-钙-聚磷酸钠,,
item,17,0,,,,,"E460, cellulose","E460,纤维素",,
item,17,0,,,,,"E461, methyl cellulose, methylcellulose, cellulose methyl ether, methylated cellulose","E461,甲基纤维素,甲基纤维素,纤维素甲基醚,甲基纤维素",May produce laxative effects in large quantities.,大量摄入可能产生通便作用。
item,17,0,,,,,"E462, ethyl cellulose, ethylcellulose, cellulose ethyl ether, ethylated cellulose","E462,乙基纤维素,乙基纤维素,乙基纤维素,乙基纤维素",,
item,17,0,,,,,"E463, hydroxypropylcellulose","E463,羟丙基纤维素",,
item,17,0,,,,,"E464, hypromellose, hydroxypropyl methylcellulose, hydroxypropyl methyl cellulose, HPMC","E464,羟基丙基甲基纤维素,HPMC",,
item,17,0,,,,,"E465, ethyl methyl cellulose, methyl ethyl cellulose, ethyl methyl ether of cellulose",E465 乙基甲基纤维素 甲基乙基纤维素 纤维素乙基甲基醚,,
item,17,?,,,,,"E466, carboxymethyl cellulose, CMC, carboxymethylcellulose, carmellose, cellulose gum","E466, 碳氧甲基纤维素, CMC, 碳氧甲基纤维素, Carmellose, 纤维素口香糖",,
item,17,0,,,,,"E500i, sodium carbonate, washing soda, soda ash, soda crystals, Na2CO3","E500i,碳酸钠,洗苏打水,苏打灰,苏打水晶,Na2CO3",,
item,17,0,,,,,"E500ii, sodium hydrogen carbonate, sodium bicarbonate, baking soda, bicarbonate of soda, NaHCO3","E500ii,碳酸氢钠,双碳酸钠,烘焙苏打,苏打的双碳酸盐,NaHCO3",,
item,17,0,,,,,"E501, potassium carbonate, carbonate of potash, dipotassium carbonate, sub-carbonate of potash, Pearl ash, potash, salt of tartar, salt of wormwood","E501,碳酸钾,陶石的碳酸盐,碳酸二钾,陶石的亚碳酸盐,珍珠灰,陶石的盐,虫木的盐",,
item,17,0,,,,,"E503, ammonium carbonate, baker's ammonia, salt of hartshorn","E503,碳酸铵,面包师的氨,盐的哈茨霍恩",,
item,17,0,,,,,"E504, magnesium carbonate","E504,碳酸镁",,
item,17,0,,,,,"E507, hydrochloric acid","E507,盐酸",,
item,17,0,,,,,"E579, iron(II) gluconate, ferrous gluconate","E579,铁(II) 葡萄糖,有色葡萄糖",,
item,17,2,,,L,,"E620, glutamic acid, (glutamate, flavour enhancer)","E620, 过量酸, (甘氨酸, 香味增强剂)",,
item,17,2,,,L,,"E620-625, glutamates, glutamic acid and its salts","E620-625, 谷氨酸、谷氨酸及其盐类",,
item,17,2,,,L,,"E621, monosodium glutamate, glutamic acid monosodium salt","E621, 单碘谷氨酸, 单碘盐",,
item,17,2,,,L,,"E622, potassium glutamate, glutamic acid potassium salt","E622, 谷硫酸钾, 谷硫酸钾盐",,
item,17,2,,,L,,"E623, calcium diglutamate","E623,二氧化钙",,
item,17,2,,,L,,"E624, monoammonium glutamate, glutamic acid ammonium salt","E624, 单氨基谷氨酸, 谷氨酸盐",,
item,17,2,,,L,,"E625, magnesium diglutamate, glutamic acid magnesium salt","E625,二硫酸镁盐",,
item,17,0,,,,,"E626, guanosine monophosphate, 5'-guanidylic acid, guanylic acid","E626,甘氨酸单磷酸,5'-甘氨酸,甘氨酸",,
item,17,0,,,,,"E650, zinc acetate, dicarbomethoxyzinc, zinc diacetate","E650,乙酸锌,二碳甲氧基锌,二乙酸锌",,
item,17,?,,,,,"E900, polydimethylsiloxane, PDMS, dimethicone, dimethylpolysiloxane","E900, 聚二甲基硅氧烷, PDMS, metthicone, 二甲基聚硅氧烷",,
item,17,0,,,,,"E901, beeswax, bees wax, cera alba, cera flava","E901,蜜蜂蜡,蜜蜂蜡,cera alba,cera flava",,
item,17,0,,,,,"E955, sucralose","E955,苏拉乐",,
item,17,0,,,,,"E960, steviol glycosides","E960, 斯泰维奥尔胶囊",,
item,17,3,,,L,?,"erythrosine, E127","红霉素, E127",,
item,17,0,,,,,"ethyl cellulose, ethylcellulose, ethylated cellulose, cellulose ethyl ether, E462","乙基纤维素,乙基纤维素,乙基纤维素,纤维素乙基醚,E462",,
item,17,0,,,,,"ethyl methyl cellulose, E465","乙基甲基纤维素,E465",,
item,17,2,,,L,,"ethylparaben, ethyl para-hydroxybenzoate, E214, E215","乙二酸乙酯,乙二羟基苯甲酸乙酯,E214,E215",,
item,17,0,,,,,"ferrous gluconate, iron(II) gluconate, E579","亚铁(II)葡萄糖,E579",,
item,17,1,,,L,,fizzy drinks,鸡尾酒,Only short time effects. Symptoms quickly disappear,作用时间短；症状会很快消失。
item,17,1,,,L,,"flavin mononucleotide, E101a","单核苷酸,E101a",,
item,17,2,,,L,,"flavour enhancers, glutamates, E620-625",E620-625 风味增强剂、谷硫酸盐,,
item,17,1,,,,,"flavourings, flavorings",风味、风味,This can be anything. Mostly not well tolerated.,这没什么大不了的
item,17,?,,,,,"Food orange 7, E160f","食物橙色 7, E160f",,
item,18,3,,,L,,"Food Yellow 13, E104","食品黄13, E104",,
item,18,?,,,,,"fumaric acid, trans-butenedioic acid, E297","富马酸,转丁二酸,E297",,
item,18,0,,,,,"gamma-tocopherol, vitamin E, E308","γ-环丙醇,维生素E,E308",,
item,18,1,?,,?,,"gelatin, E441","胶原, E441","Controversial, may also be tolerated.",存在争议，也可能可耐受。
item,18,2,,,L,,"glutamates, glutamic acid and its salts, E620-625","过量氨酸、过量酸及其盐类,E620-625",,
item,18,2,,,L,,"glutamic acid magnesium salt, E625","谷硫酸镁盐,E625",,
item,18,2,,,L,,"glutamic acid monosodium salt, E621","单碘盐,E621",,
item,18,2,,,L,,"glutamic acid, (glutamate, flavour enhancer), E620","谷硫酸,(甘氨酸,香味增强剂),E620",,
item,18,1,,,?,,gluten,谷类,Well tolerated in many cases. Flatulence in some cases.,很多情况下都非常耐受 有些情况下很平坦
item,18,0,,,,,"glycerol, glycerine, glycerin, E422","甘油,甘油,甘油,E422",,
item,18,0,,,,,"gold, E175","黄金,E175",,
item,18,?,,,?,,"Green S, E142, Food Green S, FD&C Green 4, Acid green 50, Lissamine Green B, Wool Green S, C.I. 44090","绿色S,E142,食品绿色S,FD&C Green 4,酸绿色50,利沙明绿色B,伍尔绿色S,C.I. 44090",,
item,18,0,,,,,"guanosine monophosphate, 5'-guanidylic acid, guanylic acid, E626","单磷酸甘氨酸,5'-甘氨酸,甘氨酸,E626",,
item,18,1,,,L,,"guar gum, guaran, E412","瓜尔口香糖,瓜尔,E412",,
item,18,1,,,L,,"gum arabic, acacia gum, E414","阿拉伯口香糖,阿卡西亚口香糖,E414",,
item,18,1,,,L,,"gum karaya, karaya gum, crystal gum, E416",口香糖 口香糖 水晶口香糖 E416,,
item,18,0,,,,,hemicalcium ascorbate,六硅酸酯,,
item,18,0,,,,,"hemicalcium ascorbate, E302","异丙烯酸,E302",,
item,18,2,,,L,,"hexamethylenetetramine, hexamine, methenamine, urotropine, 1,3,5,7- tetraazaadamantane, formin, aminoform","六甲基乙烷、苯乙烯、甲胺、罗托品、1,3,5,7-四氨基甲烷、福明、氨基",,
item,18,0,,,,,"hydrochloric acid, E507","盐酸,E507",,
item,18,0,,,,,"hydroxypropylcellulose, E463","羟丙基纤维素,E463",,
